druid.overlord.jvm.bufferpool.used,gauge,,byte,,Bufferpool used.,1,,
druid.overlord.jvm.gc.count,count,,,,Garbage collection count.,0,,
druid.overlord.jvm.gc.time,timer,,second,,Garbage collection time.,0,,
druid.overlord.jvm.mem.committed,gauge,,byte,,Committed memory.,1,,
druid.overlord.jvm.mem.init,gauge,,byte,,Initial memory.,0,,
druid.overlord.jvm.mem.max,gauge,,byte,,Max memory.,0,,
druid.overlord.jvm.mem.used,gauge,,byte,,Used memory.,0,,
druid.overlord.jvm.pool.committed,gauge,,,,Committed pool.,1,,
druid.overlord.jvm.pool.init,gauge,,byte,,Initial pool.,0,,
druid.overlord.jvm.pool.max,gauge,,byte,,Max pool.,0,,
druid.overlord.jvm.pool.used,gauge,,byte,,Pool used.,-1,,
druid.overlord.segment.added.bytes,count,,byte,,Size in bytes of new segments created.,0,,
druid.overlord.task.run.time,timer,,millisecond,,Milliseconds taken to run task.,0,,
